id;actor1_name;actor1_gender;actor2_name;actor2_gender;actor3_name;actor3_gender;actor4_name;actor4_gender;actor5_name;actor5_gender;actor_number;director_name;director_gender;director_number;producer_name;producer_number;screeplay_name;editor_name
67;Ali Suliman;2;none;0;Amer Hlehel;2;Hiam Abbass;1;Ashraf Barhom;2;7;Hany Abu-Assad;2;1;Bero Beyer;9;none;Sander Vos
68;Jonathan Pryce;2;Robert De Niro;2;Katherine Helmond;1;Ian Holm;2;Bob Hoskins;2;22;Terry Gilliam;2;1;Arnon Milchan;2;Terry Gilliam;Julian Doyle
69;Joaquin Phoenix;2;Reese Witherspoon;1;Ginnifer Goodwin;1;Robert Patrick;2;Tyler Hilton;2;45;James Mangold;2;1;James Keach;2;James Mangold;Michael McCusker
70;Clint Eastwood;2;Hilary Swank;1;Morgan Freeman;2;Jay Baruchel;2;Mike Colter;2;49;Clint Eastwood;2;1;Clint Eastwood;4;Paul Haggis;Joel Cox
71;Jamie Bell;2;Julie Walters;1;Jean Heywood;1;Jamie Draven;2;Gary Lewis;2;17;Stephen Daldry;2;1;Greg Brenman;6;none;John Wilson
73;Edward Norton;2;Edward Furlong;2;Beverly D'Angelo;1;Avery Brooks;2;Jennifer Lien;1;53;Tony Kaye;2;1;John Morrissey;1;David McKenna;Gerald B. Greenberg
74;Tom Cruise;2;Dakota Fanning;1;Miranda Otto;1;Justin Chatwin;2;Tim Robbins;2;29;Steven Spielberg;2;1;Kathleen Kennedy;2;none;Michael Kahn
75;Jack Nicholson;2;Glenn Close;1;Annette Bening;1;Pierce Brosnan;2;Danny DeVito;2;22;Tim Burton;2;1;Larry J. Franco;3;Jonathan Gems;Chris Lebenzon
76;Ethan Hawke;2;Julie Delpy;1;Andrea Eckert;1;Hanno Pöschl;0;Karl Bruckschwaiger;2;27;Richard Linklater;2;1;Anne Walker-McBay;1;Richard Linklater;Sandra Adair
77;Guy Pearce;2;Carrie-Anne Moss;1;Joe Pantoliano;2;Mark Boone Junior;2;Stephen Tobolowsky;2;13;Christopher Nolan;2;1;Jennifer Todd;2;Christopher Nolan;Dody Dorn
78;Harrison Ford;2;Rutger Hauer;2;Sean Young;1;Edward James Olmos;2;Joe Turkel;0;18;Ridley Scott;2;1;Michael Deeley;1;Hampton Fancher;Marsha Nakashima
79;Jet Li;2;Tony Leung Chiu-Wai;2;Maggie Cheung;1;Donnie Yen;2;Zhang Ziyi;1;27;Zhang Yimou;2;1;Zhang Yimou;3;none;Angie Lam
